epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6649,1.23696,1.75869,0.98314,0.36777,0.35431,0.35761,0.23138,1.26507,1.61963,0.99207,0.000413486,0.000413486,0.000413486
2,82.284,1.10942,0.98168,0.93801,0.43737,0.39598,0.39879,0.25754,1.2247,1.19562,1.00088,0.000813716,0.000813716,0.000813716
3,119.978,1.07591,0.89778,0.93181,0.70564,0.37758,0.4249,0.28409,1.17461,1.08101,0.9734,0.00119745,0.00119745,0.00119745
4,158.76,1.05115,0.82091,0.92394,0.72437,0.41376,0.45513,0.29982,1.17648,1.08555,0.98294,0.00117575,0.00117575,0.00117575
5,197.222,1.02774,0.77194,0.92163,0.54367,0.39514,0.43439,0.30461,1.18069,1.29243,0.98888,0.001151,0.001151,0.001151
6,234.867,1.01618,0.75164,0.91481,0.7632,0.43122,0.4942,0.33731,1.16752,1.01838,0.97981,0.00112625,0.00112625,0.00112625
7,273.695,0.999,0.72522,0.91597,0.55886,0.46182,0.48683,0.33023,1.2018,1.0188,0.99173,0.0011015,0.0011015,0.0011015
8,310.646,0.98469,0.6953,0.90936,0.51563,0.49811,0.49085,0.34071,1.27015,1.13053,1.02663,0.00107675,0.00107675,0.00107675
9,349.532,0.98014,0.68024,0.90919,0.78689,0.45628,0.53202,0.37281,1.15749,1.00228,0.97977,0.001052,0.001052,0.001052
10,387.729,0.96298,0.66801,0.90378,0.64929,0.49899,0.52756,0.36609,1.16239,0.92076,0.97692,0.00102725,0.00102725,0.00102725
11,425.041,0.94395,0.6538,0.90177,0.56324,0.53583,0.54666,0.37629,1.17557,0.99037,0.99598,0.0010025,0.0010025,0.0010025
12,464.329,0.93093,0.63423,0.89536,0.55826,0.43565,0.49885,0.34598,1.16374,1.02611,0.98303,0.00097775,0.00097775,0.00097775
13,501.342,0.932,0.62468,0.8968,0.53203,0.50665,0.50828,0.3529,1.13709,0.93596,0.97607,0.000953,0.000953,0.000953
14,539.721,0.91969,0.61678,0.89656,0.54311,0.44027,0.47737,0.3296,1.21528,1.00508,1.00269,0.00092825,0.00092825,0.00092825
15,576.229,0.90303,0.60862,0.89228,0.56921,0.49581,0.51928,0.35895,1.12824,0.97575,0.97555,0.0009035,0.0009035,0.0009035
16,614.736,0.90208,0.60907,0.8889,0.69465,0.47051,0.52067,0.36433,1.15369,1.00726,0.98151,0.00087875,0.00087875,0.00087875
17,652.129,0.89789,0.59136,0.88769,0.67644,0.47098,0.54724,0.38843,1.15703,0.91887,0.98437,0.000854,0.000854,0.000854
18,690.021,0.88649,0.58501,0.88741,0.62694,0.4616,0.53382,0.37485,1.12804,0.96458,0.97219,0.00082925,0.00082925,0.00082925
19,728.725,0.88189,0.57408,0.88822,0.59594,0.56798,0.571,0.40251,1.11135,0.94626,0.9679,0.0008045,0.0008045,0.0008045
20,766.32,0.86893,0.57109,0.88292,0.68309,0.4834,0.53709,0.37846,1.1286,1.00124,0.97071,0.00077975,0.00077975,0.00077975
21,805.021,0.86186,0.56181,0.88002,0.59914,0.55197,0.56487,0.39009,1.13439,0.98328,0.9763,0.000755,0.000755,0.000755
22,842.248,0.86594,0.56252,0.88268,0.54059,0.5165,0.52968,0.37106,1.13238,0.94531,0.96976,0.00073025,0.00073025,0.00073025
23,880.682,0.84783,0.54952,0.87719,0.58288,0.49863,0.53654,0.3801,1.14434,0.99169,0.97606,0.0007055,0.0007055,0.0007055
24,918.781,0.85752,0.54842,0.87975,0.57732,0.53825,0.56175,0.3918,1.11893,0.90264,0.97161,0.00068075,0.00068075,0.00068075
25,956.448,0.84859,0.54343,0.87793,0.63692,0.54656,0.57949,0.39828,1.10488,0.9345,0.96993,0.000656,0.000656,0.000656
26,994.822,0.83054,0.5298,0.87467,0.53877,0.56148,0.56974,0.40354,1.08239,0.90707,0.95556,0.00063125,0.00063125,0.00063125
27,1031.41,0.82234,0.52306,0.86924,0.57414,0.55785,0.57768,0.40564,1.11142,0.92897,0.96271,0.0006065,0.0006065,0.0006065
28,1069.86,0.83029,0.52539,0.87544,0.65713,0.55562,0.59328,0.42785,1.12247,0.95506,0.96629,0.00058175,0.00058175,0.00058175
29,1106.56,0.82079,0.51152,0.87374,0.54702,0.54791,0.54717,0.38706,1.10245,0.93147,0.96336,0.000557,0.000557,0.000557
30,1145.6,0.82056,0.51552,0.87337,0.64084,0.46729,0.52142,0.37863,1.08969,0.95254,0.95941,0.00053225,0.00053225,0.00053225
31,1183.82,0.81901,0.50862,0.87213,0.61503,0.56883,0.58051,0.41379,1.08214,0.90916,0.95743,0.0005075,0.0005075,0.0005075
32,1221.34,0.80808,0.50687,0.86836,0.57189,0.5647,0.57277,0.4035,1.1164,0.9186,0.96561,0.00048275,0.00048275,0.00048275
33,1260.14,0.80283,0.50427,0.86764,0.52461,0.58648,0.57197,0.40884,1.10995,0.93784,0.96503,0.000458,0.000458,0.000458
34,1297.03,0.79732,0.49703,0.86928,0.62339,0.55926,0.57857,0.41401,1.0846,0.88136,0.95592,0.00043325,0.00043325,0.00043325
35,1335.96,0.79803,0.49061,0.8668,0.68179,0.49438,0.56063,0.39388,1.10379,0.92022,0.96757,0.0004085,0.0004085,0.0004085
36,1373.21,0.79553,0.49097,0.86713,0.59704,0.51455,0.5434,0.38355,1.0969,0.91319,0.96645,0.00038375,0.00038375,0.00038375
37,1411.08,0.78691,0.48419,0.86393,0.54535,0.54977,0.56848,0.40254,1.09495,0.87806,0.95986,0.000359,0.000359,0.000359
38,1450.01,0.78321,0.48057,0.86182,0.66556,0.50026,0.54965,0.39091,1.10573,0.88724,0.95767,0.00033425,0.00033425,0.00033425
39,1486.77,0.77198,0.47228,0.8598,0.60138,0.5149,0.55037,0.39278,1.10208,0.93094,0.96458,0.0003095,0.0003095,0.0003095
40,1525.18,0.76824,0.46638,0.86056,0.63362,0.49711,0.53888,0.38231,1.10717,0.92165,0.9684,0.00028475,0.00028475,0.00028475
41,1562.35,0.75042,0.45008,0.85295,0.67849,0.48773,0.5563,0.3959,1.11002,0.92322,0.9664,0.00026,0.00026,0.00026
42,1600.26,0.73766,0.43333,0.84547,0.66713,0.48245,0.54173,0.38634,1.11777,0.94937,0.97061,0.00023525,0.00023525,0.00023525
43,1637.34,0.73656,0.42812,0.8489,0.62652,0.51241,0.54814,0.38768,1.11797,0.95482,0.97192,0.0002105,0.0002105,0.0002105
44,1673.85,0.72573,0.4197,0.8445,0.62374,0.50397,0.55462,0.39395,1.12141,0.94833,0.97439,0.00018575,0.00018575,0.00018575
45,1710.43,0.72633,0.41876,0.84583,0.62747,0.52115,0.5622,0.39803,1.10351,0.9633,0.96698,0.000161,0.000161,0.000161
46,1747.5,0.71017,0.40984,0.84209,0.64597,0.50613,0.5641,0.40469,1.10776,0.9951,0.96847,0.00013625,0.00013625,0.00013625
47,1784.92,0.70989,0.40668,0.84299,0.63965,0.49926,0.55847,0.4027,1.10938,1.04267,0.96972,0.0001115,0.0001115,0.0001115
48,1821.5,0.70044,0.40319,0.84004,0.6503,0.50485,0.56667,0.40576,1.11232,0.98809,0.96871,8.675e-05,8.675e-05,8.675e-05
49,1859.03,0.69975,0.39874,0.84065,0.63532,0.51185,0.5604,0.39962,1.12401,0.98017,0.97274,6.2e-05,6.2e-05,6.2e-05
50,1895.43,0.69703,0.39374,0.84054,0.68163,0.50158,0.56539,0.40495,1.11717,0.96553,0.97213,3.725e-05,3.725e-05,3.725e-05
